sent=20, configured_rate=20.0/sec
sent=40, configured_rate=20.0/sec
sent=60, configured_rate=20.0/sec
sent=80, configured_rate=20.0/sec
sent=100, configured_rate=20.0/sec
sent=120, configured_rate=20.0/sec
sent=140, configured_rate=20.0/sec
sent=160, configured_rate=20.0/sec
sent=180, configured_rate=20.0/sec
sent=200, configured_rate=20.0/sec
sent=220, configured_rate=20.0/sec
sent=240, configured_rate=20.0/sec
sent=260, configured_rate=20.0/sec
sent=280, configured_rate=20.0/sec
sent=300, configured_rate=20.0/sec
sent=320, configured_rate=20.0/sec
sent=340, configured_rate=20.0/sec
sent=360, configured_rate=20.0/sec
sent=380, configured_rate=20.0/sec
sent=400, configured_rate=20.0/sec
sent=420, configured_rate=20.0/sec
sent=440, configured_rate=20.0/sec
sent=460, configured_rate=20.0/sec
sent=480, configured_rate=20.0/sec
sent=500, configured_rate=20.0/sec
sent=520, configured_rate=20.0/sec
sent=540, configured_rate=20.0/sec
sent=560, configured_rate=20.0/sec
sent=580, configured_rate=20.0/sec
sent=600, configured_rate=20.0/sec
sent=620, configured_rate=20.0/sec
sent=640, configured_rate=20.0/sec
sent=660, configured_rate=20.0/sec
sent=680, configured_rate=20.0/sec
sent=700, configured_rate=20.0/sec
sent=720, configured_rate=20.0/sec
sent=740, configured_rate=20.0/sec
sent=760, configured_rate=20.0/sec
sent=780, configured_rate=20.0/sec
sent=800, configured_rate=20.0/sec
sent=820, configured_rate=20.0/sec
sent=840, configured_rate=20.0/sec
sent=860, configured_rate=20.0/sec
sent=880, configured_rate=20.0/sec
sent=900, configured_rate=20.0/sec
sent=920, configured_rate=20.0/sec
sent=940, configured_rate=20.0/sec
sent=960, configured_rate=20.0/sec
sent=980, configured_rate=20.0/sec
sent=1000, configured_rate=20.0/sec
sent=1020, configured_rate=20.0/sec
sent=1040, configured_rate=20.0/sec
sent=1060, configured_rate=20.0/sec
sent=1080, configured_rate=20.0/sec
sent=1100, configured_rate=20.0/sec
sent=1120, configured_rate=20.0/sec
sent=1140, configured_rate=20.0/sec
sent=1160, configured_rate=20.0/sec
sent=1180, configured_rate=20.0/sec
sent=1200, configured_rate=20.0/sec
sent=1220, configured_rate=20.0/sec
sent=1240, configured_rate=20.0/sec
sent=1260, configured_rate=20.0/sec
sent=1280, configured_rate=20.0/sec
sent=1300, configured_rate=20.0/sec
sent=1320, configured_rate=20.0/sec
sent=1340, configured_rate=20.0/sec
sent=1360, configured_rate=20.0/sec
sent=1380, configured_rate=20.0/sec
sent=1400, configured_rate=20.0/sec
sent=1420, configured_rate=20.0/sec
sent=1440, configured_rate=20.0/sec
sent=1460, configured_rate=20.0/sec
sent=1480, configured_rate=20.0/sec
sent=1500, configured_rate=20.0/sec
sent=1520, configured_rate=20.0/sec
sent=1540, configured_rate=20.0/sec
sent=1560, configured_rate=20.0/sec
sent=1580, configured_rate=20.0/sec
sent=1600, configured_rate=20.0/sec
sent=1620, configured_rate=20.0/sec
sent=1640, configured_rate=20.0/sec
sent=1660, configured_rate=20.0/sec
sent=1680, configured_rate=20.0/sec
sent=1700, configured_rate=20.0/sec
sent=1720, configured_rate=20.0/sec
sent=1740, configured_rate=20.0/sec
sent=1760, configured_rate=20.0/sec
sent=1780, configured_rate=20.0/sec
sent=1800, configured_rate=20.0/sec
sent=1820, configured_rate=20.0/sec
sent=1840, configured_rate=20.0/sec
sent=1860, configured_rate=20.0/sec
sent=1880, configured_rate=20.0/sec
sent=1900, configured_rate=20.0/sec
sent=1920, configured_rate=20.0/sec
sent=1940, configured_rate=20.0/sec
sent=1960, configured_rate=20.0/sec
sent=1980, configured_rate=20.0/sec
sent=2000, configured_rate=20.0/sec
sent=2020, configured_rate=20.0/sec
sent=2040, configured_rate=20.0/sec
sent=2060, configured_rate=20.0/sec
sent=2080, configured_rate=20.0/sec
sent=2100, configured_rate=20.0/sec
sent=2120, configured_rate=20.0/sec
sent=2140, configured_rate=20.0/sec
sent=2160, configured_rate=20.0/sec
sent=2180, configured_rate=20.0/sec
sent=2200, configured_rate=20.0/sec
sent=2220, configured_rate=20.0/sec
sent=2240, configured_rate=20.0/sec
sent=2260, configured_rate=20.0/sec
sent=2280, configured_rate=20.0/sec
sent=2300, configured_rate=20.0/sec
sent=2320, configured_rate=20.0/sec
sent=2340, configured_rate=20.0/sec
sent=2360, configured_rate=20.0/sec
sent=2380, configured_rate=20.0/sec
sent=2400, configured_rate=20.0/sec
sent=2420, configured_rate=20.0/sec
sent=2440, configured_rate=20.0/sec
sent=2460, configured_rate=20.0/sec
sent=2480, configured_rate=20.0/sec
sent=2500, configured_rate=20.0/sec
sent=2520, configured_rate=20.0/sec
sent=2540, configured_rate=20.0/sec
sent=2560, configured_rate=20.0/sec
sent=2580, configured_rate=20.0/sec
sent=2600, configured_rate=20.0/sec
sent=2620, configured_rate=20.0/sec
sent=2640, configured_rate=20.0/sec
sent=2660, configured_rate=20.0/sec
sent=2680, configured_rate=20.0/sec
sent=2700, configured_rate=20.0/sec
sent=2720, configured_rate=20.0/sec
sent=2740, configured_rate=20.0/sec
sent=2760, configured_rate=20.0/sec
sent=2780, configured_rate=20.0/sec
sent=2800, configured_rate=20.0/sec
sent=2820, configured_rate=20.0/sec
sent=2840, configured_rate=20.0/sec
sent=2860, configured_rate=20.0/sec
sent=2880, configured_rate=20.0/sec
sent=2900, configured_rate=20.0/sec
sent=2920, configured_rate=20.0/sec
sent=2940, configured_rate=20.0/sec
sent=2960, configured_rate=20.0/sec
sent=2980, configured_rate=20.0/sec
sent=3000, configured_rate=20.0/sec
sent=3020, configured_rate=20.0/sec
sent=3040, configured_rate=20.0/sec
sent=3060, configured_rate=20.0/sec
sent=3080, configured_rate=20.0/sec
sent=3100, configured_rate=20.0/sec
sent=3120, configured_rate=20.0/sec
sent=3140, configured_rate=20.0/sec
sent=3160, configured_rate=20.0/sec
sent=3180, configured_rate=20.0/sec
sent=3200, configured_rate=20.0/sec
sent=3220, configured_rate=20.0/sec
sent=3240, configured_rate=20.0/sec
sent=3260, configured_rate=20.0/sec
sent=3280, configured_rate=20.0/sec
sent=3300, configured_rate=20.0/sec
sent=3320, configured_rate=20.0/sec
sent=3340, configured_rate=20.0/sec
sent=3360, configured_rate=20.0/sec
sent=3380, configured_rate=20.0/sec
sent=3400, configured_rate=20.0/sec
sent=3420, configured_rate=20.0/sec
sent=3440, configured_rate=20.0/sec
sent=3460, configured_rate=20.0/sec
sent=3480, configured_rate=20.0/sec
sent=3500, configured_rate=20.0/sec
sent=3520, configured_rate=20.0/sec
sent=3540, configured_rate=20.0/sec
sent=3560, configured_rate=20.0/sec
sent=3580, configured_rate=20.0/sec
sent=3600, configured_rate=20.0/sec
sent=3620, configured_rate=20.0/sec
sent=3640, configured_rate=20.0/sec
sent=3660, configured_rate=20.0/sec
sent=3680, configured_rate=20.0/sec
sent=3700, configured_rate=20.0/sec
sent=3720, configured_rate=20.0/sec
sent=3740, configured_rate=20.0/sec
sent=3760, configured_rate=20.0/sec
sent=3780, configured_rate=20.0/sec
sent=3800, configured_rate=20.0/sec
sent=3820, configured_rate=20.0/sec
sent=3840, configured_rate=20.0/sec
sent=3860, configured_rate=20.0/sec
sent=3880, configured_rate=20.0/sec
sent=3900, configured_rate=20.0/sec
sent=3920, configured_rate=20.0/sec
sent=3940, configured_rate=20.0/sec
sent=3960, configured_rate=20.0/sec
sent=3980, configured_rate=20.0/sec
sent=4000, configured_rate=20.0/sec
sent=4020, configured_rate=20.0/sec
sent=4040, configured_rate=20.0/sec
sent=4060, configured_rate=20.0/sec
sent=4080, configured_rate=20.0/sec
sent=4100, configured_rate=20.0/sec
sent=4120, configured_rate=20.0/sec
sent=4140, configured_rate=20.0/sec
sent=4160, configured_rate=20.0/sec
sent=4180, configured_rate=20.0/sec
sent=4200, configured_rate=20.0/sec
sent=4220, configured_rate=20.0/sec
sent=4240, configured_rate=20.0/sec
sent=4260, configured_rate=20.0/sec
sent=4280, configured_rate=20.0/sec
sent=4300, configured_rate=20.0/sec
sent=4320, configured_rate=20.0/sec
sent=4340, configured_rate=20.0/sec
sent=4360, configured_rate=20.0/sec
sent=4380, configured_rate=20.0/sec
sent=4400, configured_rate=20.0/sec
sent=4420, configured_rate=20.0/sec
sent=4440, configured_rate=20.0/sec
sent=4460, configured_rate=20.0/sec
sent=4480, configured_rate=20.0/sec
sent=4500, configured_rate=20.0/sec
sent=4520, configured_rate=20.0/sec
sent=4540, configured_rate=20.0/sec
sent=4560, configured_rate=20.0/sec
sent=4580, configured_rate=20.0/sec
sent=4600, configured_rate=20.0/sec
sent=4620, configured_rate=20.0/sec
sent=4640, configured_rate=20.0/sec
sent=4660, configured_rate=20.0/sec
sent=4680, configured_rate=20.0/sec
sent=4700, configured_rate=20.0/sec
sent=4720, configured_rate=20.0/sec
sent=4740, configured_rate=20.0/sec
sent=4760, configured_rate=20.0/sec
sent=4780, configured_rate=20.0/sec
sent=4800, configured_rate=20.0/sec
sent=4820, configured_rate=20.0/sec
sent=4840, configured_rate=20.0/sec
sent=4860, configured_rate=20.0/sec
sent=4880, configured_rate=20.0/sec
sent=4900, configured_rate=20.0/sec
sent=4920, configured_rate=20.0/sec
sent=4940, configured_rate=20.0/sec
sent=4960, configured_rate=20.0/sec
sent=4980, configured_rate=20.0/sec
sent=5000, configured_rate=20.0/sec
sent=5020, configured_rate=20.0/sec
sent=5040, configured_rate=20.0/sec
sent=5060, configured_rate=20.0/sec
sent=5080, configured_rate=20.0/sec
sent=5100, configured_rate=20.0/sec
sent=5120, configured_rate=20.0/sec
sent=5140, configured_rate=20.0/sec
sent=5160, configured_rate=20.0/sec
sent=5180, configured_rate=20.0/sec
sent=5200, configured_rate=20.0/sec
sent=5220, configured_rate=20.0/sec
sent=5240, configured_rate=20.0/sec
